city,date,current_temperature,feels_like_temperature,humidity,wind_speed,temperature_difference
Chicago,2026-02-13,43.9,37.92,56,11.5,-5.979999999999997
Chicago,2026-02-14,41.56,41.56,73,1.01,0.0
Chicago,2026-02-20,34.07,23.0,74,18.9,-11.07
Chicago,2026-02-21,29.43,20.97,73,9.22,-8.46
Chicago,2026-02-22,25.63,13.03,68,18.41,-12.6
Chicago,2026-02-23,23.47,10.87,64,16.11,-12.6
Chicago,2026-02-24,31.23,19.45,58,18.41,-11.780000000000001
Chicago,2026-02-25,33.12,23.04,58,14.97,-10.079999999999998
Chicago,2026-02-26,36.52,30.99,57,6.91,-5.530000000000005
Chicago,2026-02-28,34.72,25.5,62,13.8,-9.219999999999999
Chicago,2026-03-01,29.07,17.42,49,16.11,-11.649999999999999
Chicago,2026-03-02,36.75,32.07,57,5.75,-4.68
Chicago,2026-03-03,39.33,37.6,76,3.0,-1.7299999999999969
Chicago,2026-03-04,42.1,36.57,79,9.22,-5.530000000000001
Chicago,2026-03-05,44.04,40.73,96,5.75,-3.3100000000000023
Chicago,2026-03-10,40.33,32.27,88,14.97,-8.059999999999995
Chicago,2026-03-11,34.29,25.39,81,12.66,-8.899999999999999
Chicago,2026-03-12,41.45,38.17,59,5.01,-3.280000000000001
Chicago,2026-03-13,39.25,27.46,66,29.93,-11.79
Chicago,2026-03-14,35.47,28.42,66,9.22,-7.049999999999997
Chicago,2026-03-16,25.92,13.32,80,20.71,-12.600000000000001
Chicago,2026-03-17,21.96,10.42,54,11.5,-11.540000000000001
Chicago,2026-03-18,30.25,24.15,78,5.99,-6.100000000000001
Chicago,2026-03-22,37.4,25.61,82,26.46,-11.79
Chicago,2026-03-23,35.19,26.1,56,13.8,-9.089999999999996
Chicago,2026-03-24,43.57,39.45,47,7.0,-4.119999999999997
Chicago,2026-03-27,35.26,25.39,69,16.11,-9.869999999999997
Chicago,2026-03-28,40.66,39.11,49,3.0,-1.5499999999999972
Chicago,2026-04-01,37.78,27.99,81,18.41,-9.790000000000003
Chicago,2026-04-04,49.8,46.96,93,7.0,-2.8399999999999963
Chicago,2026-04-05,47.28,44.44,57,5.99,-2.8400000000000034
Chicago,2026-04-06,48.04,42.94,54,12.03,-5.100000000000001
Dallas,2026-01-22,47.77,43.56,86,9.22,-4.210000000000001
Dallas,2026-01-23,47.84,43.65,92,9.22,-4.190000000000005
Dallas,2026-01-24,27.63,15.03,93,21.99,-12.6
Dallas,2026-01-25,17.24,4.64,76,20.71,-12.599999999999998
Dallas,2026-01-26,25.38,19.89,52,5.75,-5.489999999999998
Dallas,2026-01-27,34.29,30.11,77,4.61,-4.18
Dallas,2026-01-28,41.2,38.53,65,4.18,-2.6700000000000017
Dallas,2026-01-30,29.98,19.96,76,12.66,-10.02
Dallas,2026-02-04,49.68,44.53,59,13.8,-5.149999999999999
Dallas,2026-03-16,40.86,31.19,27,21.85,-9.669999999999998
Mesquite,2026-01-22,48.09,44.92,87,6.91,-3.1700000000000017
Mesquite,2026-01-23,47.23,46.54,91,3.0,-0.6899999999999977
Mesquite,2026-01-24,28.24,20.26,93,8.01,-7.979999999999997
Mesquite,2026-01-25,16.5,5.97,77,8.01,-10.530000000000001
Mesquite,2026-01-26,25.25,22.61,56,3.0,-2.6400000000000006
Mesquite,2026-01-27,33.69,33.69,74,1.01,0.0
Mesquite,2026-01-28,41.09,41.09,63,0.0,0.0
Mesquite,2026-01-30,29.97,21.63,74,9.22,-8.34
Mesquite,2026-02-04,49.44,46.56,59,6.91,-2.8799999999999955
Mesquite,2026-03-16,40.57,30.31,27,24.16,-10.260000000000002
Terrell,2026-01-11,48.58,44.15,42,10.36,-4.43
Terrell,2026-01-17,42.62,36.32,25,11.5,-6.299999999999997
Terrell,2026-01-20,32.59,25.88,50,7.49,-6.710000000000004
Terrell,2026-01-22,43.95,38.41,95,10.36,-5.540000000000006
Terrell,2026-01-23,47.97,43.39,95,10.36,-4.579999999999998
Terrell,2026-01-24,33.08,26.13,90,8.05,-6.949999999999999
Terrell,2026-01-25,17.08,4.48,77,12.66,-12.599999999999998
Terrell,2026-01-26,23.11,17.19,55,5.75,-5.919999999999998
Terrell,2026-01-27,33.6,33.6,75,0.0,0.0
Terrell,2026-01-28,40.96,36.99,70,5.88,-3.969999999999999
Terrell,2026-01-30,30.04,22.42,73,8.05,-7.619999999999997
Terrell,2026-02-01,48.92,44.98,34,9.22,-3.940000000000005
Terrell,2026-03-16,39.74,30.85,30,17.27,-8.89
Terrell,2026-03-17,49.17,45.28,30,9.22,-3.8900000000000006
