city,date,current_temperature,feels_like_temperature,humidity,wind_speed,temperature_difference
Dallas,2026-02-06,80.87,79.34,24,10.36,-1.5300000000000011
Dallas,2026-03-19,83.3,82.62,40,9.22,-0.6799999999999926
Dallas,2026-03-21,87.87,87.73,40,10.0,-0.14000000000000057
Dallas,2026-03-22,85.57,83.91,34,16.11,-1.6599999999999966
Dallas,2026-03-26,80.01,81.82,60,16.11,1.809999999999988
Dallas,2026-03-31,80.55,81.99,56,21.85,1.4399999999999977
Dallas,2026-04-01,83.52,86.49,59,19.57,2.969999999999999
Mesquite,2026-02-06,80.67,79.11,22,10.36,-1.5600000000000023
Mesquite,2026-03-19,83.23,82.54,40,7.0,-0.6899999999999977
Mesquite,2026-03-21,87.28,87.48,42,8.01,0.20000000000000284
Mesquite,2026-03-22,84.45,83.14,36,11.01,-1.3100000000000023
Mesquite,2026-04-01,83.39,86.05,58,16.11,2.6599999999999966
Terrell,2026-02-06,81.81,79.79,21,10.36,-2.019999999999996
Terrell,2026-03-21,86.11,86.7,45,15.79,0.5900000000000034
Terrell,2026-03-22,81.21,80.35,35,17.27,-0.8599999999999994
Terrell,2026-04-01,81.99,84.24,59,21.85,2.25
